Identifiant du bureau de vote,Numéro du bureau de vote,geo_shape,geo_point_2d,Libellé du bureau de vote,Adresse,Code Postal
18-19,019,"{""coordinates"": [2.347862042867114, 48.88824191171278], ""type"": ""Point""}","48.88824191171278,2.347862042867114",COLLEGE ROLAND DORGELES,63 RUE DE CLIGNANCOURT,75018
18-20,020,"{""coordinates"": [2.344306390516829, 48.885013867551436], ""type"": ""Point""}","48.885013867551436,2.344306390516829",GYMNASE RONSARD,2 RUE RONSARD,75018
17-35,035,"{""coordinates"": [2.32076950238748, 48.888851078537634], ""type"": ""Point""}","48.888851078537634,2.32076950238748",ECOLE ELEMENTAIRE,8 RUE LECOMTE,75017
17-57,057,"{""coordinates"": [2.290018854657438, 48.88812440472938], ""type"": ""Point""}","48.88812440472938,2.290018854657438",ECOLE MATERNELLE,6 RUE LOUIS VIERNE,75017
18-2,002,"{""coordinates"": [2.344687211542814, 48.89230356234001], ""type"": ""Point""}","48.89230356234001,2.344687211542814",MAIRIE D'ARRONDISSEMENT,1 PLACE JULES JOFFRIN,75018
18-37,037,"{""coordinates"": [2.335058910784301, 48.89195637087871], ""type"": ""Point""}","48.89195637087871,2.335058910784301",ECOLE ELEMENTAIRE,65 RUE DAMREMONT,75018
17-8,008,"{""coordinates"": [2.32076950238748, 48.888851078537634], ""type"": ""Point""}","48.888851078537634,2.32076950238748",ECOLE ELEMENTAIRE,8 RUE LECOMTE,75017
17-6,006,"{""coordinates"": [2.320797457836302, 48.88295338482713], ""type"": ""Point""}","48.88295338482713,2.320797457836302",ECOLE ELEMENTAIRE,10 RUE BOURSAULT,75017
17-28,028,"{""coordinates"": [2.319827381882725, 48.889676021347626], ""type"": ""Point""}","48.889676021347626,2.319827381882725",ECOLE MATERNELLE,4 RUE FOURNEYRON,75017
17-47,047,"{""coordinates"": [2.307843958723689, 48.88447740480201], ""type"": ""Point""}","48.88447740480201,2.307843958723689",LYCEE CARNOT,145 BOULEVARD MALESHERBES,75017
18-10,010,"{""coordinates"": [2.345148291204886, 48.89575027938108], ""type"": ""Point""}","48.89575027938108,2.345148291204886",ECOLE ELEMENTAIRE,69 RUE CHAMPIONNET,75018
18-42,042,"{""coordinates"": [2.332815661316506, 48.89581467139788], ""type"": ""Point""}","48.89581467139788,2.332815661316506",COLLEGE HECTOR BERLIOZ,17 RUE GEORGETTE AGUTTE,75018
18-23,023,"{""coordinates"": [2.342390890062967, 48.88466921909152], ""type"": ""Point""}","48.88466921909152,2.342390890062967",ECOLE ELEMENTAIRE,1 PLACE SUZANNE VALADON,75018
18-58,058,"{""coordinates"": [2.358257707246151, 48.886176554585155], ""type"": ""Point""}","48.886176554585155,2.358257707246151",COLLEGE MARX DORMOY - ANNEXE,8 RUE JEAN FRANCOIS LEPINE,75018
18-16,016,"{""coordinates"": [2.351436913678164, 48.895198281265046], ""type"": ""Point""}","48.895198281265046,2.351436913678164",COLLEGE GERARD PHILIPE,11 RUE CHAMPIONNET,75018
17-29,029,"{""coordinates"": [2.32101135936568, 48.89354792729749], ""type"": ""Point""}","48.89354792729749,2.32101135936568",ECOLE MATERNELLE,61 CITE DES FLEURS,75017
17-62,062,"{""coordinates"": [2.290514942781118, 48.87881044967343], ""type"": ""Point""}","48.87881044967343,2.290514942781118",COLLEGE ANDRE MALRAUX,5BIS RUE SAINT FERDINAND,75017
17-27,027,"{""coordinates"": [2.320981881587569, 48.89403148126463], ""type"": ""Point""}","48.89403148126463,2.320981881587569",ECOLE ELEMENTAIRE,61 RUE DE LA JONQUIERE,75017
17-10,010,"{""coordinates"": [2.3152503852402893, 48.88519314147329], ""type"": ""Point""}","48.88519314147329,2.3152503852402893",ECOLE MATERNELLE,48 RUE DE SAUSSURE,75017
18-25,025,"{""coordinates"": [2.337870390462065, 48.88911913117193], ""type"": ""Point""}","48.88911913117193,2.337870390462065",ECOLE MATERNELLE,3 PLACE CONSTANTIN PECQUEUR,75018
17-42,042,"{""coordinates"": [2.297720761532415, 48.88069860255016], ""type"": ""Point""}","48.88069860255016,2.297720761532415",ECOLE MATERNELLE,31 RUE DES RENAUDES,75017
17-33,033,"{""coordinates"": [2.325594516525339, 48.892040018910635], ""type"": ""Point""}","48.892040018910635,2.325594516525339",ECOLE ELEMENTAIRE,19 RUE DU CAPITAINE LAGACHE,75017
17-44,044,"{""coordinates"": [2.303749377845186, 48.880752946467865], ""type"": ""Point""}","48.880752946467865,2.303749377845186",ECOLE HOTELIERE JEAN DROUANT,20 RUE MEDERIC,75017
17-20,020,"{""coordinates"": [2.324907367489848, 48.89647898099357], ""type"": ""Point""}","48.89647898099357,2.324907367489848",ECOLE MATERNELLE,1 RUE JACQUES KELLNER,75017
17-66,066,"{""coordinates"": [2.29683196052162, 48.88025971883635], ""type"": ""Point""}","48.88025971883635,2.29683196052162",ECOLE ELEMENTAIRE,16 RUE LAUGIER,75017
17-37,037,"{""coordinates"": [2.30123835569839, 48.8891018544135], ""type"": ""Point""}","48.8891018544135,2.30123835569839",ECOLE ELEMENTAIRE,2 RUE DE L ABBE ROUSSELOT,75017
17-60,060,"{""coordinates"": [2.289375502632327, 48.8804542547162], ""type"": ""Point""}","48.8804542547162,2.289375502632327",ECOLE MATERNELLE,221 BOULEVARD PEREIRE,75017
18-5,005,"{""coordinates"": [2.344513080958964, 48.89130095570097], ""type"": ""Point""}","48.89130095570097,2.344513080958964",ECOLE ELEMENTAIRE,20 RUE HERMEL,75018
18-31,031,"{""coordinates"": [2.328145781784834, 48.88688946329716], ""type"": ""Point""}","48.88688946329716,2.328145781784834",LYCEE TECHNOLOGIQUE AUGUSTE RENOIR,24 RUE GANNERON,75018
17-65,065,"{""coordinates"": [2.290101061345522, 48.878012858561775], ""type"": ""Point""}","48.878012858561775,2.290101061345522",ECOLE ELEMENTAIRE,16 RUE DU COLONEL MOLL,75017
17-30,030,"{""coordinates"": [2.325928356043653, 48.88905364690923], ""type"": ""Point""}","48.88905364690923,2.325928356043653",ECOLE ELEMENTAIRE,23 AVENUE DE SAINT OUEN,75017
17-43,043,"{""coordinates"": [2.303749377845186, 48.880752946467865], ""type"": ""Point""}","48.880752946467865,2.303749377845186",ECOLE HOTELIERE JEAN DROUANT,20 RUE MEDERIC,75017
17-14,014,"{""coordinates"": [2.310896770720142, 48.88650043571316], ""type"": ""Point""}","48.88650043571316,2.310896770720142",ECOLE ELEMENTAIRE,20 RUE JOUFFROY D ABBANS,75017
17-39,039,"{""coordinates"": [2.295258694912166, 48.88816575864977], ""type"": ""Point""}","48.88816575864977,2.295258694912166",ECOLE ELEMENTAIRE,40 BOULEVARD DE REIMS,75017
17-18,018,"{""coordinates"": [2.318990564141351, 48.896604038468915], ""type"": ""Point""}","48.896604038468915,2.318990564141351",ECOLE ELEMENTAIRE,92 BOULEVARD BESSIERES,75017
